列標籤,平均值 - R_2020,平均值 - R_2022,平均值 - R_2021
Afghanistan,1.106366906,1.07038806,1.004136986
Africa,,,
Albania,1.099717314,0.976179104,1.017315068
Algeria,1.081122807,0.951970149,0.999863014
Andorra,0.944964789,0.551761194,1.080493151
Angola,1.088676471,0.272238806,1.083178082
Anguilla,,,
Antigua and Barbuda,0.535789474,0.509223881,0.848767123
Argentina,1.163111888,0.838865672,1.032164384
Armenia,1.098606272,0.619074627,0.983041096
Aruba,,,
Asia,,,
Australia,1.046621622,1.079164179,1.142575342
Austria,1.136486486,1.061641791,1.015178082
Azerbaijan,1.127678571,0.806985075,0.999917808
Bahamas,0.984009009,0.903880597,1.088547945
Bahrain,1.07875,0.992955224,1.016438356
Bangladesh,1.121375465,0.966985075,0.986739726
Barbados,0.832485549,0.816,1.067616438
Belarus,1.136847826,0.365014925,0.995315068
Belgium,1.157033333,1.131970149,1.090986301
Belize,1.073945578,0.877671642,1.055616438
Benin,0.990252101,0.091880597,0.549178082
Bermuda,,,
Bhutan,0.868051948,0.885761194,0.731589041
Bolivia,1.117054545,0.993761194,1.061260274
Bonaire Sint Eustatius and Saba,,,
Bosnia and Herzegovina,1.133133803,0.999313433,1.055835616
Botswana,0.948972973,0.388328358,1.134136986
Brazil,1.215426621,1.082358209,0.989479452
British Virgin Islands,,,
Brunei,0.035035461,0.882477612,0.812191781
Bulgaria,1.12465035,0.973850746,1.034931507
Burkina Faso,1.040390071,0.110179104,0.765726027
Burundi,0.80540404,0.806567164,1.015616438
Cambodia,0.368050542,0.894656716,1.000356164
Cameroon,1.001696751,0.139641791,0.459917808
Canada,1.158691275,0.98038806,1.037068493
Cape Verde,1.048473896,0.879820896,1.06939726
Cayman Islands,,,
Central African Republic,0.647299578,0.17,0.407671233
Chad,0.970288066,0.365910448,0.730356164
Chile,1.145223368,1.017104478,0.996520548
China,1.023837209,1.116029851,1.022082192
Colombia,1.178194444,0.849074627,0.987945205
Comoros,0.752186047,0.433731343,0.909287671
Congo,0.646615385,0.20880597,0.575424658
Cook Islands,,,
Costa Rica,1.128701754,0.671343284,1.02509589
Cote d'Ivoire,1.079103943,0.962298507,1.08630137
Croatia,1.148675958,0.968477612,1.036109589
Cuba,1.080935252,0.941701493,1.011671233
Curacao,,,
Cyprus,1.136985816,0.785940299,1.057972603
Czechia,1.169112628,0.982985075,1.030493151
Democratic Republic of Congo,1.102408759,0.477164179,1.036164384
Denmark,1.13,0.990059701,1.049589041
Djibouti,0.98906367,0.250149254,0.994794521
Dominica,,0.396597015,0.486601671
Dominican Republic,1.121894737,0.881791045,1.010493151
Ecuador,1.131631944,0.931014925,1.036739726
Egypt,1.109657534,0.256238806,1.001726027
El Salvador,1.088383459,0.137671642,0.785287671
England,,,
Equatorial Guinea,0.521713147,0.592059701,0.857013699
Eritrea,0.566582915,0.620537313,1.073890411
Estonia,1.107773973,1.039522388,1.020246575
Eswatini,1.102,0.707761194,0.967780822
Ethiopia,1.081439689,0.933014925,1.055369863
Europe,,,
European Union,,,
Faeroe Islands,,,
Falkland Islands,,,
Fiji,,0.883253731,1.111084337
Finland,1.082305085,0.982626866,1.059945205
France,1.212189542,1.012955224,1.068739726
French Polynesia,,,
Gabon,1.100736434,0.291343284,1.140657534
Gambia,0.884268293,0.155492537,0.820356164
Georgia,1.152463768,0.341641791,1.016657534
Germany,1.191934426,1.036268657,1.024438356
Ghana,1.176357143,0.709880597,1.067726027
Gibraltar,,,
Greece,1.072662116,1.057014925,1.067041096
Greenland,,,
Grenada,0.358181818,0.785552239,0.399534247
Guam,,,
Guatemala,1.114490566,1.052149254,1.027726027
Guernsey,,,
Guinea,1.071697417,0.254835821,0.991260274
Guinea-Bissau,0.56195122,0.349253731,0.849945205
Guyana,0.995106383,0.99519403,1.063835616
Haiti,1.099414226,0.758925373,1.029424658
High income,,,
Honduras,1.137870036,0.750746269,0.949534247
Hong Kong,,,
Hungary,1.148105263,1.037880597,1.079013699
Iceland,0.973945578,0.981641791,0.989315068
India,1.195890411,0.953283582,0.996986301
Indonesia,1.154089347,1.089701493,0.937863014
International,,,
Iran,1.150582524,0.943164179,0.979972603
Iraq,1.116313993,0.950238806,0.982657534
Ireland,1.141780822,1.054328358,1.048465753
Isle of Man,,,
Israel,1.173617747,1.000955224,1.025534247
Italy,1.174679487,0.964208955,1.035616438
Jamaica,1.081115385,0.857522388,1.043917808
Japan,1.135127389,1.14238806,0.966712329
Jersey,,,
Jordan,1.137359155,0.415910448,1.009589041
Kazakhstan,1.081,0.896626866,0.991671233
Kenya,1.087802198,0.943164179,1.066164384
Kiribati,,0.278381877,
Kosovo,1.127018182,0.969253731,0.965479452
Kuwait,1.089863014,0.745671642,1.010191781
Kyrgyzstan,1.062218182,0.683014925,0.995315068
Laos,,0.952955224,1.134047619
Latvia,1.134020979,1.035492537,1.015726027
Lebanon,1.15467354,0.941313433,1.014191781
Lesotho,1.079485714,0.211492537,0.688027397
Liberia,0.819209486,0.291850746,0.589616438
Libya,1.137695853,0.531701493,1.02460274
