加總 - new_cases,欄標籤,,,
列標籤,2020年,2021年,2022年,總計
Afghanistan,52332,105754,48624,206710
1月,,2693,4848,7541
2月,5,691,10733,11429
3月,163,740,4088,4991
4月,1661,3291,1132,6084
5月,13353,12093,1468,26914
6月,16265,46821,2181,65267
7月,5183,28495,3221,36899
8月,1620,6066,7501,15187
9月,1106,1954,5938,8998
10月,1980,1076,3875,6931
11月,4881,1039,2844,8764
12月,6115,795,795,7705
Africa,2760926,6977423,2694902,12433251
1月,,809148,1130918,1940066
2月,3,327680,446100,773783
3月,5764,319961,225752,551477
4月,32993,340423,114022,487438
5月,108124,282686,212649,603459
6月,258340,664182,178315,1100837
7月,523189,1204828,195306,1923323
8月,324253,1081053,67092,1472398
9月,229702,520504,31668,781874
10月,303545,193779,29001,526325
11月,388843,164029,44218,597090
12月,586170,1069150,19861,1675181
Albania,58316,151908,123311,333535
1月,,19811,48319,68130
2月,,29040,13020,42060
3月,243,17990,2114,20347
4月,530,5928,1430,7888
5月,364,1230,994,2588
6月,1398,206,4750,6354
7月,2741,560,31246,34547
8月,4237,13306,17255,34798
9月,4136,23744,2869,30749
10月,7226,15169,745,23140
11月,17307,14645,377,32329
12月,20134,10279,192,30605
Algeria,99610,118822,52715,271147
1月,,7729,33685,41414
2月,1,5753,12819,18573
3月,715,4100,735,5550
4月,3290,4916,109,8315
5月,5388,6805,104,12297
6月,4513,10713,203,15429
7月,16487,31766,1367,49620
8月,14100,24688,2850,41638
9月,7036,7279,369,14684
10月,6412,3093,165,9670
11月,25257,4079,252,29588
12月,16411,7901,57,24369
Andorra,8049,15691,23706,47446
1月,,1888,12218,14106
2月,,929,2041,2970
3月,376,1144,2025,3545
4月,369,1222,1325,2916
5月,19,495,1545,2059
6月,91,184,880,1155
7月,70,767,1734,2571
8月,251,355,519,1125
9月,874,189,200,1263
10月,2706,294,308,3308
11月,1989,1599,684,4272
12月,1304,6625,227,8156
Angola,17553,64040,23215,104808
1月,,2243,16523,18766
2月,,1011,625,1636
3月,7,1504,428,1939
4月,20,4341,118,4479
5月,59,7899,474,8432
6月,198,4298,1559,6055
7月,864,3928,981,5773
8月,1506,4767,335,6608
9月,2318,9039,495,11852
10月,5833,7850,0,13683
11月,4334,735,1545,6614
12月,2414,16425,132,18971
Anguilla,13,1661,2230,3904
1月,,3,650,653
2月,,2,231,233
3月,2,7,145,154
4月,1,68,88,157
5月,0,16,415,431
6月,0,0,253,253
7月,0,4,124,128
8月,0,104,257,361
9月,0,192,28,220
10月,0,535,1,536
11月,3,442,38,483
12月,7,288,0,295
Antigua and Barbuda,160,4125,4823,9108
1月,,75,2344,2419
2月,,496,810,1306
3月,7,406,54,467
4月,17,96,135,248
5月,2,29,627,658
6月,43,3,388,434
7月,23,40,132,195
8月,3,412,201,616
9月,7,1516,124,1647
10月,27,827,8,862
11月,13,83,0,96
12月,18,142,0,160
Argentina,1625514,4028894,4112567,9766975
1月,,301725,2724248,3025973
2月,,180126,522000,702126
3月,1054,241456,137255,379765
4月,3374,628542,34319,666235
5月,12423,804421,158343,975187
6月,47679,688590,136599,872868
7月,126772,459390,193135,779297
8月,226433,255856,117918,600207
9月,333266,71282,30195,434743
10月,415923,31905,10455,458283
11月,257609,41941,8372,307922
12月,200981,323660,39728,564369
Armenia,159409,185521,100951,445881
1月,,7617,22865,30482
2月,,5032,52037,57069
3月,532,20581,2687,23800
4月,1534,23425,348,25307
5月,7216,6606,96,13918
6月,16260,2425,280,18965
7月,13008,5015,2122,20145
8月,5231,12025,9033,26289
9月,6578,19562,8477,34617
10月,39454,46629,2367,88450
11月,45311,30192,495,75998
12月,24285,6412,144,30841
Aruba,5489,14972,24086,44547
1月,,1477,12539,14016
2月,,925,684,1609
3月,55,1552,282,1889
4月,45,1195,880,2120
5月,1,347,2188,2536
6月,2,153,3684,3839
7月,18,592,1362,1972
8月,1885,2846,768,5499
9月,1957,924,122,3003
10月,550,425,1218,2193
11月,332,429,307,1068
12月,644,4107,52,4803
Asia,19898874,64275714,112593343,196767931
1月,9333,2398667,15851264,18259264
2月,73839,1909888,16513576,18497303
3月,96833,3484925,22812559,26394317
4月,342990,11017797,8612636,19973423
5月,618468,11741131,4547296,16906895
6月,1166691,4556963,3652014,9375668
7月,1991759,6250643,8788038,17030440
8月,2818014,8096119,13000810,23914943
9月,3555356,5794362,6161677,15511395
10月,3046598,3695767,3942723,10685088
11月,3077099,2799688,5942435,11819222
12月,3101894,2529764,2768315,8399973
Australia,28425,397071,10470810,10896306
1月,9,393,2181746,2182148
2月,16,160,657205,657381
3月,4534,344,1338049,1342927
4月,2207,489,1380076,1382772
5月,436,307,1359266,1360009
6月,718,525,852265,853508
7月,9360,3740,1271166,1284266
8月,8539,20710,606242,635491
9月,1277,52088,197572,250937
10月,499,64849,139789,205137
11月,317,39625,280456,320398
12月,513,213841,206978,421332
Austria,356064,914748,4358772,5629584
1月,,53223,564791,618014
2月,4,43360,835721,879085
3月,9261,84656,1170725,1264642
4月,6138,74267,332696,413101
5月,1208,28153,113409,142770
6月,1019,6214,171614,178847
7月,3244,8307,314276,325827
8月,6258,28377,181967,216602
9月,17100,55082,188451,260633
10月,57236,84558,308040,449834
11月,177033,325652,122066,624751
12月,77563,122899,55016,255478
Azerbaijan,218700,398247,207957,824904
1月,,11519,41523,53042
2月,,4318,127200,131518
3月,298,27176,6262,33736
4月,1506,57396,655,59557
5月,3690,14847,205,18742
6月,12030,2091,409,14530
7月,14354,7802,5662,27818
8月,4557,81042,14599,100198
9月,3794,59011,8003,70808
10月,15040,47468,1818,64326
11月,65907,56948,1079,123934
12月,97524,28629,542,126695
Bahamas,7871,16653,13015,37539
1月,,303,8086,8389
2月,,345,573,918
3月,14,600,148,762
4月,67,1334,275,1676
5月,21,1343,1201,2565
6月,2,790,1216,2008
7月,470,2254,749,3473
8月,1643,3299,351,5293
9月,1906,2845,215,4966
10月,2591,1367,96,4054
11月,827,488,97,1412
12月,330,1685,8,2023
Bahrain,92675,189387,415399,697461
1月,,10382,92513,102895
2月,41,19337,140308,159686
3月,526,22051,39586,62163
4月,2473,32489,14237,49199
5月,8358,63597,16959,88914
6月,15360,25296,40191,80847
7月,14224,3359,33791,51374
8月,10990,3354,12050,26394
9月,18892,2517,8862,30271
10月,10781,1772,9628,22181
11月,5311,861,6145,12317
12月,5719,4372,1129,11220
Bangladesh,513510,1072029,451286,2036825
1月,,21629,213294,234923
2月,,11077,144744,155821
3月,51,65079,8000,73130
4月,7616,147837,1114,156567
5月,39486,41408,816,81710
6月,98330,112718,20282,231330
7月,92178,336226,31468,459872
8月,75335,251134,6689,333158
9月,50483,55293,13251,119027
10月,44205,13628,10043,67876
11月,57248,6745,1345,65338
12月,48578,9255,240,58073
Barbados,383,28182,75851,104416
1月,,1162,15865,17027
2月,,1523,10735,12258
3月,34,584,4107,4725
4月,47,203,10808,11058
5月,11,162,10574,10747
6月,5,64,3767,3836
7月,13,309,7665,7987
8月,64,642,9034,9740
9月,16,3349,1460,4825
10月,47,9382,434,9863
11月,39,7553,1402,8994
12月,107,3249,0,3356
Belarus,194284,504826,294927,994037
1月,,54052,43843,97895
2月,1,38970,176783,215754
3月,151,34501,42971,77623
4月,13875,36931,17638,68444
5月,28529,35701,2522,66752
6月,19562,22750,0,42312
7月,5690,28851,11170,45711
8月,4035,35492,0,39527
9月,6788,56554,0,63342
10月,19851,62082,0,81933
11月,38165,54550,0,92715
12月,57637,44392,0,102029
Belgium,646496,1458847,2549130,4654473
1月,,63657,1049896,1113553
2月,1,61358,402075,463434
3月,12774,110942,293734,417450
4月,35744,107776,205400,348920
5月,9862,71772,96110,177744
6月,3046,23130,93520,119696
7月,7324,39584,168177,215085
8月,16485,59949,68060,144494
9月,33216,60290,62190,155696
10月,310777,115696,67734,494207
11月,148116,405385,27172,580673
12月,69151,339308,15062,423521
Belize,10776,22064,36536,69376
1月,,1132,17647,18779
2月,,385,6207,6592
3月,3,163,586,752
4月,15,212,217,444
5月,0,141,1868,2009
6月,6,442,4601,5049
7月,24,912,3145,4081
8月,959,2190,1191,4340
9月,985,4448,552,5985
10月,1495,5997,89,7581
11月,2367,3633,105,6105
12月,4922,2409,328,7659
Benin,3460,21684,3045,28189
1月,,642,1515,2157
2月,,1541,117,1658
3月,9,1666,385,2060
4月,55,721,0,776
5月,377,237,0,614
6月,967,141,264,1372
7月,606,195,100,901
8月,340,4972,174,5486
9月,212,10524,148,10884
10月,286,859,144,1289
11月,372,101,198,671
12月,236,85,0,321
Bermuda,604,5816,12099,18519
1月,,87,4373,4460
2月,,14,768,782
3月,32,512,1003,1547
4月,82,1176,924,2182
5月,26,101,1267,1394
6月,6,20,1407,1433
7月,10,39,1031,1080
8月,16,370,720,1106
9月,9,2321,241,2571
10月,18,403,186,607
11月,61,101,123,285
12月,344,672,56,1072
Bhutan,670,1990,59861,62521
1月,,189,2231,2420
2月,,8,7811,7819
3月,4,6,15399,15409
4月,3,201,31062,31266
5月,36,546,465,1047
6月,34,480,101,615
7月,24,415,639,1078
8月,124,81,708,913
9月,57,5,893,955
10月,67,20,411,498
11月,61,19,123,203
12月,260,20,18,298
Bolivia,160124,439629,520759,1120512
1月,,56711,255952,312663
2月,,32175,37690,69865
3月,107,23401,8548,32056
4月,1060,31321,3031,35412
5月,8815,67547,3888,80250
6月,23237,68345,17856,109438
7月,43570,33882,110782,188234
8月,39809,17373,64152,121334
9月,18713,9566,6610,34889
10月,6446,13139,1185,20770
11月,2951,23975,1639,28565
12月,15416,62194,9426,87036
