Location,2020_rate,2021_rate
Cook Islands,,9.7855
England,,
Guam,,
Guernsey,,
International,,
Jersey,,
Kiribati,,1.27
Micronesia (country),,0.729833333
Nauru,,
Niue,,
North Korea,,
Northern Cyprus,,
Northern Ireland,,
Northern Mariana Islands,,
Palau,,46.08141667
Pitcairn,,
Puerto Rico,,
Scotland,,
Sint Maarten (Dutch part),,
Tokelau,,
Tonga,,0.77975
Turkmenistan,,
Tuvalu,,
United States Virgin Islands,,
Wales,,
Western Sahara,,
Vanuatu,0.255,1.530166667
Laos,0.454083333,1228.715083
Tanzania,0.647583333,36.63866667
Samoa,0.7495,0.37475
Vietnam,1.242666667,1468.11325
Cambodia,1.87975,596.951
Solomon Islands,1.956,0.805416667
Timor,2.734083333,1229.717583
Taiwan,2.795916667,56.60558333
Fiji,4.3925,4775.648917
Yemen,5.193583333,19.8505
Burundi,5.288666667,171.637
Macao,5.393666667,3.955166667
China,5.44425,1.255916667
Papua New Guinea,6.54075,290.6711667
Thailand,8.00125,2576.2935
Chad,9.934333333,16.87825
Marshall Islands,10.01775,0
Niger,10.57758333,12.9785
New Caledonia,11.209,3675.232417
Democratic Republic of Congo,14.86066667,48.08783333
Benin,21.59366667,135.32675
Somalia,22.32341667,89.1135
Burkina Faso,24.64966667,40.1515
Sierra Leone,25.28233333,43.11958333
Mali,26.15083333,51.33583333
Malawi,26.88325,279.7134167
South Sudan,27.16958333,89.21966667
Liberia,28.336,72.30666667
Wallis and Futuna,28.74566667,3233.874083
Brunei,29.13833333,2845.383417
Mongolia,29.30308333,16954.82825
Eritrea,29.85816667,151.35
Nigeria,33.40566667,58.68641667
Mauritius,33.797,4366.818
Togo,34.21091667,249.8468333
New Zealand,34.77991667,192.1951667
Greenland,39.82725,3813.09
Angola,41.10108333,149.9531667
Syria,43.06525,146.3044167
Sudan,45.33366667,37.38883333
Low income,45.57408333,159.1451667
Mozambique,47.11941667,430.8374167
Madagascar,49.87016667,91.64425
Rwanda,50.70841667,625.47
Saint Kitts and Nevis,55.92733333,5185.504167
Nicaragua,57.91541667,104.7485833
Saint Helena,61.717,0
Uganda,62.29408333,186.10575
Cote d'Ivoire,66.65366667,143.5641667
Anguilla,68.23275,8718.061917
Zimbabwe,70.83641667,1018.098583
Bhutan,71.3555,211.9374167
Haiti,71.92491667,116.31425
Central African Republic,74.12925,107.5428333
Cameroon,78.445,248.0486667
Comoros,81.95991667,566.8511667
Guinea,82.50733333,110.208
Ethiopia,83.92983333,199.9766667
Grenada,84.357,4021.234
Zambia,86.27825,972.2618333
Cuba,88.17108333,7091.54025
Oceania,89.60341667,999.92125
Australia,90.48833333,1264.039333
Senegal,92.108,269.0826667
Saint Vincent and the Grenadines,96.99291667,4592.35525
Guinea-Bissau,97.04408333,159.5761667
Hong Kong,98.43658333,42.58916667
Congo,99.19658333,181.1986667
South Korea,99.339,922.3120833
Dominica,100.7905,7742.562083
Egypt,103.6585833,185.8378333
Afghanistan,106.033,214.2745833
Lesotho,111.81825,914.85625
Barbados,113.32425,8338.482
Tajikistan,114.414,32.05091667
Gambia,120.0123333,196.26175
Ghana,136.3445,219.5983333
Antigua and Barbuda,142.188,3665.804917
Kenya,148.7803333,306.2791667
Japan,158.4934167,1006.81475
Africa,161.2614167,407.5390833
Saint Lucia,163.54375,6123.33725
Sri Lanka,165.2723333,2076.242417
Pakistan,170.3869167,287.5563333
Seychelles,178.90175,19105.95692
Algeria,184.8603333,220.51425
Uzbekistan,185.4485833,293.2218333
Myanmar,191.69225,624.78325
Indonesia,224.8018333,1064.5805
British Virgin Islands,228.7331667,9058.896333
Montserrat,245.48675,623.1585
Bangladesh,249.9761667,521.8624167
Mauritania,252.73725,476.98825
