,Location,2020_rate,2021_rate,2022_rate
0,Afghanistan,106.033,214.27458333333334,98.52024999999998
1,Africa,161.26141666666666,407.5390833333334,157.40491666666668
2,Albania,1709.7550833333335,4453.759666666666,3615.329916666667
3,Algeria,184.86033333333333,220.51424999999998,97.83183333333334
4,Andorra,8400.862166666666,16376.93125,24742.306833333336
5,Angola,41.101083333333335,149.95316666666668,54.358666666666664
6,Anguilla,68.23275,8718.061916666666,11704.562083333332
7,Antigua and Barbuda,142.18800000000002,3665.8049166666674,4286.105083333333
8,Argentina,2976.4569166666665,7377.252916666667,7530.465416666669
9,Armenia,4777.636833333333,5560.236333333333,3025.5956666666675
10,Aruba,4296.645416666666,11719.690916666666,18853.89341666667
11,Asia,351.2185833333333,1134.4785833333333,1987.2943333333335
12,Australia,90.48833333333336,1264.0393333333334,33332.843499999995
13,Austria,3319.1586666666667,8527.100083333333,40631.606666666674
14,Azerbaijan,1759.4968333333334,3203.9969999999994,1673.0660000000005
15,Bahamas,1599.8389166666668,3384.8469999999998,2645.396333333333
16,Bahrain,5245.702833333334,10719.911333333332,23512.915166666662
17,Bangladesh,249.9761666666667,521.8624166666666,219.6845833333333
18,Barbados,113.32425,8338.482000000002,22442.770083333333
19,Belarus,1697.997,4412.064083333334,2577.5945
20,Belgium,4622.085583333334,10429.940166666665,18224.854750000002
21,Belize,2215.7242499999998,4536.725416666667,7512.409833333335
22,Benin,21.593666666666667,135.32674999999998,19.003583333333335
23,Bermuda,783.9237499999999,7548.502916666668,15703.116583333336
24,Bhutan,71.3555,211.93741666666668,6375.3234999999995
25,Bolivia,1091.5856666666666,2997.0065833333333,3550.079416666667
26,Bonaire Sint Eustatius and Saba,603.7760000000001,9888.363500000001,25229.18816666666
27,Bosnia and Herzegovina,2860.26375,4647.346333333333,2819.029666666667
28,Botswana,469.05266666666665,6485.445,3469.5663333333328
29,Brazil,2980.4709166666667,5606.525999999999,5167.6838333333335
30,British Virgin Islands,228.73316666666668,9058.896333333332,10141.389083333333
31,Brunei,29.138333333333332,2845.383416666667,45651.24358333333
32,Bulgaria,2485.346,6694.750500000001,6661.636083333334
33,Burkina Faso,24.649666666666665,40.1515,14.697666666666668
34,Burundi,5.288666666666667,171.63699999999997,154.58208333333337
35,Cambodia,1.8797499999999996,596.951,88.37916666666666
36,Cameroon,78.445,248.04866666666666,43.66308333333333
37,Canada,1279.113,3539.884083333333,4897.8550000000005
38,Cape Verde,1663.4015,4199.52775,3006.2068333333336
39,Cayman Islands,409.86325000000005,10282.975416666668,27333.556499999995
40,Central African Republic,74.12925,107.54283333333335,47.020250000000004
41,Chad,9.934333333333333,16.878249999999998,9.145249999999999
42,Chile,2588.6773333333335,5090.5305,13410.101666666667
43,China,5.44425,1.2559166666666666,103.38891666666666
44,Colombia,2639.0456666666664,5646.154749999998,1862.7980833333334
45,Comoros,81.95991666666666,566.8511666666667,245.18433333333334
46,Congo,99.19658333333335,181.19866666666667,73.78033333333333
47,Cook Islands,0.0,9.7855,31249.998916666667
48,Costa Rica,2723.513166666667,6453.833000000001,9302.842083333331
49,Cote d'Ivoire,66.65366666666667,143.56416666666664,49.98233333333334
50,Croatia,4359.349,10429.3385,11203.586166666666
51,Cuba,88.17108333333334,7091.540249999999,1081.8569166666668
52,Curacao,1856.9571666666664,7438.725166666666,10749.861666666668
53,Cyprus,2078.293916666667,13437.488083333332,42342.95408333334
54,Czechia,5706.9255,13979.255250000002,16694.746750000002
55,Democratic Republic of Congo,14.860666666666667,48.08783333333333,16.766500000000004
56,Denmark,2315.9871666666663,9079.83,36337.2875
57,Djibouti,433.5245,581.7745833333333,151.2245
58,Dominica,100.7905,7742.562083333333,10246.295583333333
59,Dominican Republic,1267.4601666666665,1840.4500833333332,1723.3329999999999
60,Ecuador,1035.0252500000001,1561.5470000000003,2170.069333333333
61,Egypt,103.65858333333334,185.83783333333335,97.65908333333333
62,El Salvador,609.3640833333334,995.6115833333333,1050.01925
63,England,0.0,0.0,0.0
64,Equatorial Guinea,262.55033333333336,419.5729166666667,177.66975000000002
65,Eritrea,29.858166666666666,151.35,49.265333333333324
66,Estonia,1758.9651666666666,13411.745916666667,23200.80358333333
67,Eswatini,648.9535833333333,3935.532833333333,540.8398333333333
68,Ethiopia,83.92983333333332,199.9766666666667,50.61766666666667
69,Europe,2676.710666666667,7291.971000000001,17123.177250000004
70,European Union,2900.403166666667,7601.064833333334,22823.400666666665
71,Faeroe Islands,957.0056666666668,8085.922750000001,45330.748
72,Falkland Islands,635.7978333333334,1227.7473333333332,40493.73016666667
73,Fiji,4.392499999999999,4775.648916666667,1364.2279999999998
74,Finland,547.7900833333333,3525.5033333333336,17252.192666666666
75,France,3361.68325,9469.903833333336,35106.381916666665
76,French Polynesia,4605.0827500000005,8016.587833333335,8506.043749999999
77,Gabon,333.8578333333333,1124.1460000000002,250.27941666666666
78,Gambia,120.01233333333333,196.26175000000003,74.40258333333333
79,Georgia,5061.355666666666,15741.815250000001,19427.15583333333
80,Germany,1718.9842500000002,5428.30625,29649.31883333334
81,Ghana,136.3445,219.59833333333333,69.79391666666666
82,Gibraltar,5204.9873333333335,17009.925583333334,29375.912166666672
83,Greece,1114.19025,8602.198166666667,34006.24683333333
84,Greenland,39.82725,3813.09,13806.77625
85,Grenada,84.357,4021.2340000000004,8948.474416666668
86,Guam,0.0,0.0,0.0
87,Guatemala,644.53275,2289.982916666667,2539.56725
88,Guernsey,0.0,0.0,0.0
89,Guinea,82.50733333333334,110.20800000000003,36.69
90,Guinea-Bissau,97.04408333333333,159.57616666666667,93.56074999999998
91,Guyana,654.01275,3425.2387500000004,3316.325500000001
92,Haiti,71.92491666666668,116.31425,55.675916666666666
93,High income,2806.259583333334,6389.144333333334,18044.905916666667
94,Honduras,973.2639166666668,2057.4015000000004,649.4863333333334
95,Hong Kong,98.43658333333333,42.589166666666664,25026.907999999996
96,Hungary,2696.4337499999997,7808.037583333334,7647.010833333333
97,Iceland,1285.8580833333333,4761.292,40295.33141666666
98,India,604.8843333333334,1445.0633333333333,577.245
99,Indonesia,224.80183333333335,1064.5804999999998,737.2304166666668
100,International,0.0,0.0,0.0
101,Iran,1152.95925,4676.480083333333,1285.34525
102,Iraq,1114.8741666666667,2806.329416666667,694.1337499999998
103,Ireland,1522.6129166666667,11607.78625,14920.742250000003
104,Isle of Man,371.64625,13075.607250000001,24020.90675
105,Israel,3733.11075,8483.014416666665,29592.85791666666
106,Italy,2974.5425833333334,5672.269166666668,26231.533000000007
107,Jamaica,378.058,2390.1082499999998,1731.5499166666661
108,Japan,158.49341666666666,1006.8147499999999,16418.35325
109,Jersey,0.0,0.0,0.0
110,Jordan,2175.3144166666666,5677.532333333333,5047.548666666667
111,Kazakhstan,864.3336666666668,3998.251333333333,1790.6141666666665
112,Kenya,148.7803333333333,306.2791666666667,72.63724999999998
113,Kiribati,0.0,1.27,2179.2636666666663
114,Kosovo,2391.54,5159.600166666666,5178.070416666667
115,Kuwait,2939.5653333333335,5203.367333333334,4794.614916666668
116,Kyrgyzstan,1018.4320833333335,1302.7306666666668,274.78575
117,Laos,0.45408333333333334,1228.7150833333333,1175.1477499999999
118,Latvia,1841.8698333333334,10616.516833333333,31153.535916666664
119,Lebanon,2755.1830833333333,8294.663833333334,7487.477750000001
120,Lesotho,111.81824999999999,914.8562499999999,219.80558333333337
121,Liberia,28.336,72.30666666666666,27.643500000000007
122,Libya,1226.6580833333335,3528.607,1447.9354999999994
123,Liechtenstein,4711.38825,8279.336916666667,31683.817750000006
124,Lithuania,4395.422750000001,11495.969333333334,22925.486666666668
125,Low income,45.574083333333334,159.14516666666668,50.81925000000001
126,Lower middle income,419.83366666666666,1184.9124166666668,734.2574166666667
127,Luxembourg,6146.14475,7379.929666666666,26383.78616666666
128,Macao,5.393666666666667,3.9551666666666665,115.19766666666668
129,Madagascar,49.87016666666668,91.64425,48.80383333333334
130,Malawi,26.883250000000004,279.71341666666666,53.89358333333332
131,Malaysia,277.4890833333333,6494.83225,5533.253000000001
132,Maldives,2188.6615,13036.672333333334,14310.701166666666
133,Mali,26.150833333333335,51.33583333333333,43.362
134,Malta,2002.6504166666664,6203.437500000001,9923.875250000001
135,Marshall Islands,10.01775,0.0,31141.05783333333
136,Mauritania,252.73725,476.98824999999994,386.74099999999993
137,Mauritius,33.797000000000004,4366.818,13884.677583333332
138,Mexico,932.0575,1668.9846666666665,2082.1654999999996
139,Micronesia (country),0.0,0.7298333333333332,16587.404583333333
140,Moldova,3687.1955833333336,5890.047666666666,5582.224999999999
141,Monaco,2025.6124166666668,9385.873249999999,24695.58641666666
142,Mongolia,29.303083333333333,16954.828250000002,7426.960916666666
143,Montenegro,6411.575499999999,16184.353666666664,15163.222083333334
144,Montserrat,245.48675000000003,623.1585,25625.04683333333
145,Morocco,977.0794999999999,1165.526,683.1815
146,Mozambique,47.119416666666666,430.8374166666667,105.49166666666666
147,Myanmar,191.69224999999997,624.7832500000001,157.85258333333334
148,Namibia,777.1970000000001,4026.48475,753.5958333333332
149,Nauru,0.0,0.0,30343.02508333333
150,Nepal,710.8964166666666,1549.0531666666666,470.59825000000006
151,Netherlands,3827.047,11134.940416666666,25656.76441666667
152,New Caledonia,11.208999999999998,3675.2324166666663,18615.85058333333
153,New Zealand,34.77991666666667,192.19516666666667,32234.864166666666
154,Nicaragua,57.915416666666665,104.74858333333333,20.388499999999997
155,Niger,10.577583333333333,12.978499999999999,6.451250000000001
156,Nigeria,33.40566666666667,58.686416666666666,9.493999999999998
157,Niue,0.0,0.0,0.0
158,North America,3221.2132500000002,5817.252083333333,7307.163166666668
159,North Korea,0.0,0.0,0.0031666666666666666
160,North Macedonia,3316.8055833333333,5640.985916666667,4778.119416666667
161,Northern Cyprus,0.0,0.0,0.0
162,Northern Ireland,0.0,0.0,0.0
163,Northern Mariana Islands,0.0,0.0,0.0
164,Norway,760.0898333333333,5285.723916666666,16513.445583333334
165,Oceania,89.60341666666666,999.92125,23555.967
166,Oman,2346.6371666666664,3216.2443333333326,1704.9795833333328
167,Pakistan,170.38691666666665,287.5563333333334,98.78566666666666
168,Palau,0.0,46.08141666666668,27123.425999999996
169,Palestine,2190.5065833333333,5265.701416666667,3705.9780000000005
170,Panama,4664.9535,4709.187083333333,9703.271166666666
171,Papua New Guinea,6.540749999999999,290.67116666666664,84.61825
172,Paraguay,1326.4514166666665,4401.790166666667,3844.144833333332
173,Peru,2484.457,3136.8316666666674,5057.358583333334
174,Philippines,341.8631666666667,1709.0294166666665,870.18975
175,Pitcairn,0.0,0.0,0.0
176,Poland,2707.3314166666664,5882.1272500000005,4703.224583333334
177,Portugal,3357.7126666666663,7918.585916666666,33751.102999999996
178,Puerto Rico,0.0,0.0,0.0
179,Qatar,4447.341333333334,3298.9739166666664,7239.288916666668
180,Romania,2680.08875,4987.588166666666,6327.680500000001
181,Russia,1800.886416666667,4142.130833333334,6359.795666666666
182,Rwanda,50.708416666666665,625.47,127.33524999999999
183,Saint Helena,61.717000000000006,0.0,38850.83033333334
184,Saint Kitts and Nevis,55.92733333333334,5185.504166666667,6221.905083333334
185,Saint Lucia,163.54375000000002,6123.3372500000005,7483.563000000001
186,Saint Pierre and Miquelon,254.88566666666668,1189.4651666666666,45397.904250000014
187,Saint Vincent and the Grenadines,96.99291666666666,4592.35525,4163.500083333333
188,Samoa,0.7494999999999999,0.37474999999999997,5983.108000000001
189,San Marino,5770.753083333333,14517.1665,35651.03433333333
190,Sao Tome and Principe,371.60358333333335,1056.54075,874.0376666666666
191,Saudi Arabia,830.2499166666665,442.87575,618.0346666666667
192,Scotland,0.0,0.0,0.0
193,Senegal,92.108,269.0826666666666,66.56191666666666
194,Serbia,4098.094833333334,11659.383166666667,13719.82425
195,Seychelles,178.90175,19105.95691666667,19663.664583333335
196,Sierra Leone,25.28233333333333,43.11958333333334,6.738916666666667
197,Singapore,866.2824999999998,3264.22475,28123.345833333336
198,Sint Maarten (Dutch part),0.0,0.0,0.0
199,Slovakia,4054.8890833333335,16191.012333333332,18990.007999999998
200,Slovenia,4801.927833333334,13440.3045,31924.612833333333
201,Solomon Islands,1.9560000000000002,0.8054166666666666,2825.1359166666666
202,Somalia,22.323416666666663,89.1135,17.84333333333333
203,South Africa,1470.8809166666663,3314.944166666666,816.68925
204,South America,2523.97,5045.72575,4940.904833333333
205,South Korea,99.33900000000001,922.3120833333332,43753.93716666666
206,South Sudan,27.169583333333332,89.21966666666667,23.74825
207,Spain,3396.9843333333333,7781.464583333333,12860.485333333336
208,Sri Lanka,165.27233333333334,2076.242416666667,322.5965
209,Sudan,45.33366666666666,37.38883333333333,30.48041666666667
210,Suriname,837.3149999999999,6234.16125,3928.3747499999995
211,Sweden,3455.0230833333335,6930.956833333334,10471.3015
212,Switzerland,4312.27675,8393.130583333334,28831.08366666667
213,Syria,43.06525,146.3044166666667,26.899749999999997
214,Taiwan,2.7959166666666673,56.605583333333335,29520.049833333334
215,Tajikistan,114.414,32.05091666666666,2.45325
216,Tanzania,0.6475833333333333,36.638666666666666,14.631666666666666
217,Thailand,8.00125,2576.2935,2907.368500000001
218,Timor,2.734083333333333,1229.7175833333333,219.93808333333334
219,Togo,34.21091666666667,249.84683333333336,86.39466666666665
220,Tokelau,0.0,0.0,0.0
221,Tonga,0.0,0.7797499999999999,12617.7085
222,Trinidad and Tobago,389.16783333333336,4612.81375,5096.144333333334
223,Tunisia,938.4023333333334,3962.7206666666666,2839.4301666666674
224,Turkey,1352.8305,7102.757666666667,7262.107500000001
225,Turkmenistan,0.0,0.0,0.0
226,Turks and Caicos Islands,1629.2696666666668,4357.47675,5762.586166666668
227,Tuvalu,0.0,0.0,20791.060166666666
228,Uganda,62.29408333333333,186.10575000000003,51.27558333333334
229,Ukraine,2281.59,5793.676583333334,3790.398333333333
230,United Arab Emirates,1834.3668333333333,4890.962333333333,2503.9269999999997
231,United Kingdom,3072.1612499999997,12907.340750000001,12680.116083333336
232,United States,4980.268333333333,8544.785083333332,10978.143833333334
233,United States Virgin Islands,0.0,0.0,0.0
234,Upper middle income,767.4218333333333,1954.1024999999997,1916.6695833333333
235,Uruguay,465.99325,9598.974916666668,14234.561583333336
236,Uzbekistan,185.44858333333332,293.22183333333334,118.66008333333336
237,Vanuatu,0.255,1.530166666666667,3057.1809166666667
238,Vatican,2784.6535833333332,0.0,206.27066666666667
239,Venezuela,334.3678333333334,974.8447499999999,305.69374999999997
240,Vietnam,1.2426666666666668,1468.11325,7841.716666666668
241,Wales,0.0,0.0,0.0
242,Wallis and Futuna,28.745666666666665,3233.8740833333336,21278.88925
243,Western Sahara,0.0,0.0,0.0
244,World,867.99275,2145.4525,3757.5291666666667
245,Yemen,5.193583333333333,19.8505,4.498500000000001
246,Zambia,86.27825,972.2618333333334,330.84116666666665
247,Zimbabwe,70.83641666666666,1018.0985833333334,235.3778333333333
