,country_name,country_id,year,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,score,panback
0,Mexico,3,2018,2.688,1.442,1.76,1.263,2.059,1.837,2.008,13.056999999999999,na
1,Mexico,3,2019,2.688,1.442,1.76,1.263,2.059,1.837,2.008,13.056999999999999,0.0
2,Mexico,3,2020,1.694,1.005,1.699,1.263,2.059,1.837,2.008,11.565000000000001,-1.4919999999999973
3,Mexico,3,2021,1.694,1.005,1.163,1.263,2.059,0.84,2.008,10.032,-3.0249999999999986
4,Suriname,4,2018,2.373,1.873,1.481,1.208,1.817,2.156,1.421,12.329,na
5,Suriname,4,2019,1.563,1.873,1.481,1.208,1.44,1.516,1.421,10.501999999999999,-1.8270000000000017
6,Suriname,4,2020,1.774,1.853,1.481,2.241,1.792,1.516,1.421,12.078,-0.2510000000000012
7,Suriname,4,2021,2.33,1.853,0.814,2.241,1.792,2.079,1.653,12.762,0.43299999999999983
8,Sweden,5,2018,1.873,1.974,3.263,2.667,1.988,1.812,1.896,15.472999999999999,na
9,Sweden,5,2019,1.873,1.974,3.263,2.667,1.988,1.812,1.896,15.472999999999999,0.0
10,Sweden,5,2020,1.873,1.974,3.263,2.667,1.989,1.935,1.896,15.597000000000001,0.12400000000000233
11,Sweden,5,2021,1.873,1.974,3.263,2.667,1.989,1.935,1.896,15.597000000000001,0.12400000000000233
12,Switzerland,6,2018,2.574,2.87,2.962,1.63,2.257,1.719,1.884,15.896,na
13,Switzerland,6,2019,2.574,2.87,2.962,1.63,2.257,1.719,1.884,15.896,0.0
14,Switzerland,6,2020,2.574,2.87,2.962,1.63,0.837,1.719,1.884,14.476,-1.42
15,Switzerland,6,2021,2.574,2.87,2.962,1.63,1.749,1.719,1.884,15.388000000000002,-0.5079999999999991
16,Ghana,7,2018,2.176,1.613,2.273,2.482,1.892,2.543,1.53,14.508999999999999,na
17,Ghana,7,2019,2.176,1.613,1.699,2.482,2.545,2.543,1.53,14.588,0.07900000000000063
18,Ghana,7,2020,2.581,1.954,1.699,2.482,1.83,2.543,2.129,15.218000000000002,0.7090000000000032
19,Ghana,7,2021,1.538,1.005,1.364,2.482,1.83,2.543,2.129,12.891,-1.6179999999999986
20,South Africa,8,2018,1.421,1.598,2.054,2.278,1.36,1.93,1.663,12.304,na
21,South Africa,8,2019,1.421,1.598,2.057,2.278,1.36,1.498,1.178,11.39,-0.9139999999999997
22,South Africa,8,2020,1.421,1.392,2.057,2.278,1.327,1.498,0.965,10.937999999999999,-1.3660000000000014
23,South Africa,8,2021,1.421,1.392,2.057,2.278,1.327,1.498,0.965,10.937999999999999,-1.3660000000000014
24,Japan,9,2018,1.929,1.347,2.273,2.513,1.774,2.145,2.342,14.322999999999999,na
25,Japan,9,2019,1.929,1.347,2.273,2.513,1.774,2.145,2.342,14.322999999999999,0.0
26,Japan,9,2020,2.303,1.477,2.273,2.513,1.046,1.189,2.342,13.143,-1.179999999999998
27,Japan,9,2021,2.303,1.477,2.273,2.513,1.046,1.189,2.342,13.143,-1.179999999999998
28,Burma/Myanmar,10,2018,0.999,0.626,0.394,-0.344,-0.333,-0.127,-0.305,0.9100000000000004,na
29,Burma/Myanmar,10,2019,0.999,0.781,0.25,-0.421,-0.333,-0.127,-0.305,0.8440000000000003,-0.06600000000000006
30,Burma/Myanmar,10,2020,0.999,0.942,0.333,-0.341,-0.053,-0.408,-0.416,1.0560000000000003,0.1459999999999999
31,Burma/Myanmar,10,2021,-2.097,-2.422,-2.146,-0.908,-1.598,-1.598,-1.55,-12.319000000000003,-13.229000000000003
32,Russia,11,2018,0.423,0.394,-0.43,-0.134,0.647,1.192,1.417,3.5089999999999995,na
33,Russia,11,2019,0.423,0.394,-0.55,-0.173,0.647,1.192,1.417,3.3499999999999996,-0.1589999999999998
34,Russia,11,2020,0.423,0.394,-0.715,-0.173,0.647,1.192,1.417,3.185,-0.3239999999999994
35,Russia,11,2021,0.435,0.375,-0.913,-0.121,0.647,1.192,1.013,2.628,-0.8809999999999993
36,Albania,12,2018,1.555,1.417,1.214,2.254,1.954,2.027,1.578,11.998999999999999,na
37,Albania,12,2019,1.423,1.687,1.157,1.769,1.954,2.095,2.408,12.493,0.49400000000000155
38,Albania,12,2020,1.589,1.841,0.887,1.769,1.954,2.095,2.408,12.543000000000001,0.5440000000000023
39,Albania,12,2021,1.589,1.673,0.887,1.769,2.27,2.095,2.408,12.691,0.692000000000002
40,Egypt,13,2018,-1.476,-1.206,-1.737,-0.853,-1.116,0.603,-0.466,-6.251,na
41,Egypt,13,2019,-1.558,-1.206,-1.737,-0.853,-1.116,1.218,-0.466,-5.718000000000001,0.5329999999999995
42,Egypt,13,2020,-1.558,-1.206,-1.737,-0.364,-0.963,1.218,-0.466,-5.0760000000000005,1.1749999999999998
43,Egypt,13,2021,-1.558,-1.206,-1.737,-0.09,-1.16,1.115,-0.466,-5.102,1.149
44,Yemen,14,2018,-1.338,-1.254,-2.342,-3.428,-1.762,-1.644,-2.037,-13.805,na
45,Yemen,14,2019,-1.042,-1.1,-1.805,-3.428,-1.602,-1.644,-1.901,-12.522,1.2829999999999995
46,Yemen,14,2020,-1.001,-1.1,-1.805,-3.428,-1.871,-1.644,-2.461,-13.31,0.4949999999999992
47,Yemen,14,2021,-0.926,-1.069,-1.805,-2.92,-1.657,-1.644,-2.037,-12.058,1.7469999999999999
48,Colombia,15,2018,0.776,0.451,1.31,1.968,2.096,0.984,0.795,8.38,na
49,Colombia,15,2019,-0.178,-0.231,0.687,1.469,1.581,0.555,0.529,4.412000000000001,-3.968
50,Colombia,15,2020,-0.397,-0.497,0.687,1.221,0.877,0.89,0.529,3.31,-5.07
51,Colombia,15,2021,-0.397,-0.274,0.58,1.221,0.877,0.89,0.34,3.2369999999999997,-5.143000000000001
52,Poland,17,2018,1.255,1.074,0.686,1.605,2.085,1.129,1.417,9.251,na
53,Poland,17,2019,1.303,1.074,0.552,1.334,2.085,1.129,1.417,8.894,-0.3569999999999993
54,Poland,17,2020,1.599,1.074,0.552,1.334,1.614,1.129,1.417,8.719,-0.532
55,Poland,17,2021,1.599,1.074,0.424,1.334,1.614,1.22,1.391,8.655999999999999,-0.5950000000000006
56,Brazil,19,2018,1.403,1.419,1.307,1.512,2.414,1.89,1.994,11.939,na
57,Brazil,19,2019,0.97,1.117,0.251,0.591,1.348,1.429,1.464,7.17,-4.769
58,Brazil,19,2020,1.063,1.117,0.196,0.591,1.348,1.429,1.464,7.208,-4.731
59,Brazil,19,2021,1.157,0.582,-0.179,0.591,1.348,1.429,1.464,6.3919999999999995,-5.547000000000001
60,United States of America,20,2018,2.392,2.129,2.886,1.971,1.74,1.64,2.078,14.836,na
61,United States of America,20,2019,2.053,1.763,2.886,1.971,1.435,1.64,2.078,13.826,-1.0099999999999998
62,United States of America,20,2020,2.11,1.867,2.886,1.971,1.324,1.863,2.049,14.069999999999999,-0.7660000000000018
63,United States of America,20,2021,2.359,2.15,2.886,1.971,1.324,1.863,2.049,14.601999999999999,-0.23400000000000176
64,Portugal,21,2018,3.029,2.885,2.745,2.733,2.688,2.297,2.461,18.837999999999997,na
65,Portugal,21,2019,3.029,2.885,2.745,2.733,2.688,2.297,2.461,18.837999999999997,0.0
66,Portugal,21,2020,3.029,2.885,2.431,1.857,1.839,2.297,2.461,16.799,-2.038999999999998
67,Portugal,21,2021,3.029,1.802,2.431,2.451,1.273,2.297,1.521,14.803999999999998,-4.033999999999999
68,El Salvador,22,2018,0.988,0.71,1.413,2.253,1.598,1.214,0.796,8.972,na
69,El Salvador,22,2019,1.731,1.379,0.902,2.253,0.96,1.469,0.9,9.594000000000001,0.6220000000000017
70,El Salvador,22,2020,0.681,0.368,0.56,2.253,0.299,-0.142,-0.339,3.68,-5.292
71,El Salvador,22,2021,0.204,-0.171,0.231,2.253,0.843,-0.142,-0.339,2.8790000000000004,-6.092999999999999
72,Bangladesh,24,2018,-0.798,-0.79,-0.378,1.232,-0.354,1.565,1.104,1.581,na
