,Location,2020_rate,2021_rate,panback_2020,panback_2021
0,Vanuatu,0.255,1.530166667,1.04,-1.92
1,Laos,0.454083333,1228.715083,-1.87,-0.9
2,Tanzania,0.647583333,36.63866667,1.73,-0.28
3,Vietnam,1.242666667,1468.11325,0.32,1.84
4,Cambodia,1.87975,596.951,1.39,1.39
5,Solomon Islands,1.956,0.805416667,0.36,0.2
6,Taiwan,2.795916667,56.60558333,1.21,1.21
7,Fiji,4.3925,4775.648917,-0.1,0.28
8,Yemen,5.193583333,19.8505,-0.49,-1.75
9,Burundi,5.288666667,171.637,-2.97,-1.38
10,China,5.44425,1.255916667,0.71,1.13
11,Papua New Guinea,6.54075,290.6711667,-1.55,-0.42
12,Thailand,8.00125,2576.2935,3.64,3.32
13,Chad,9.934333333,16.87825,-0.83,-0.11
14,Niger,10.57758333,12.9785,0.38,0.28
15,Benin,21.59366667,135.32675,3.25,3.25
16,Somalia,22.32341667,89.1135,1.24,1.24
17,Burkina Faso,24.64966667,40.1515,2.53,1.96
18,Sierra Leone,25.28233333,43.11958333,2.21,1.97
19,Mali,26.15083333,51.33583333,-2.62,-2.85
20,Malawi,26.88325,279.7134167,-1.49,-1.48
21,South Sudan,27.16958333,89.21966667,-1.82,-3.91
22,Liberia,28.336,72.30666667,-2.46,-2.46
23,Mongolia,29.30308333,16954.82825,2.26,2.26
24,Eritrea,29.85816667,151.35,-0.57,-0.7
25,Nigeria,33.40566667,58.68641667,-0.34,1.91
26,Mauritius,33.797,4366.818,3.51,5.27
27,Togo,34.21091667,249.8468333,-0.1,-0.1
28,New Zealand,34.77991667,192.1951667,1.81,3.06
29,Angola,41.10108333,149.9531667,-0.75,-0.04
30,Syria,43.06525,146.3044167,0.2,0.22
31,Sudan,45.33366667,37.38883333,-6.13,-2.8
32,Mozambique,47.11941667,430.8374167,-0.67,0.39
33,Madagascar,49.87016667,91.64425,1.17,1.62
34,Rwanda,50.70841667,625.47,0.87,2.67
35,Nicaragua,57.91541667,104.7485833,0.06,1.77
36,Uganda,62.29408333,186.10575,1.76,3.61
37,Zimbabwe,70.83641667,1018.098583,1.27,2.21
38,Bhutan,71.3555,211.9374167,-0.42,0.11
39,Haiti,71.92491667,116.31425,-0.84,-0.41
40,Central African Republic,74.12925,107.5428333,-0.29,-1.42
41,Cameroon,78.445,248.0486667,-1.0,-1.6
42,Comoros,81.95991667,566.8511667,1.1,0.18
43,Guinea,82.50733333,110.208,5.51,6.68
44,Ethiopia,83.92983333,199.9766667,0.9,0.96
45,Zambia,86.27825,972.2618333,0.0,-1.32
46,Cuba,88.17108333,7091.54025,1.2,3.2
47,Australia,90.48833333,1264.039333,-0.31,0.47
48,Senegal,92.108,269.0826667,-0.43,-1.12
49,Guinea-Bissau,97.04408333,159.5761667,-1.4,-3.84
50,Hong Kong,98.43658333,42.58916667,4.18,7.5
51,South Korea,99.339,922.3120833,1.74,0.29
52,Egypt,103.6585833,185.8378333,-1.17,-1.15
53,Afghanistan,106.033,214.2745833,0.77,8.84
54,Lesotho,111.81825,914.85625,-2.57,-0.64
55,Barbados,113.32425,8338.482,-0.4,-0.4
56,Tajikistan,114.414,32.05091667,0.26,0.13
57,Ghana,136.3445,219.5983333,-0.71,1.62
58,Kenya,148.7803333,306.2791667,-2.03,-1.89
59,Japan,158.4934167,1006.81475,1.18,1.18
60,Sri Lanka,165.2723333,2076.242417,4.87,5.85
61,Pakistan,170.3869167,287.5563333,1.39,0.78
62,Seychelles,178.90175,19105.95692,-1.89,-1.89
63,Algeria,184.8603333,220.51425,0.26,2.48
64,Uzbekistan,185.4485833,293.2218333,-2.97,-3.31
65,Indonesia,224.8018333,1064.5805,1.38,1.91
66,Bangladesh,249.9761667,521.8624167,0.86,0.59
67,Mauritania,252.73725,476.98825,-2.68,-0.17
68,Equatorial Guinea,262.5503333,419.5729167,0.14,0.22
69,Malaysia,277.4890833,6494.83225,0.97,1.14
70,Gabon,333.8578333,1124.146,4.97,4.97
71,Venezuela,334.3678333,974.84475,0.39,-1.72
72,Philippines,341.8631667,1709.029417,1.68,2.52
73,Sao Tome and Principe,371.6035833,1056.54075,-0.0,-0.0
74,Jamaica,378.058,2390.10825,-0.78,0.19
75,Trinidad and Tobago,389.1678333,4612.81375,0.49,-0.06
76,Djibouti,433.5245,581.7745833,0.4,0.4
77,Uruguay,465.99325,9598.974917,0.23,3.76
78,Botswana,469.0526667,6485.445,1.24,0.19
79,Finland,547.7900833,3525.503333,1.25,1.25
80,India,604.8843333,1445.063333,2.43,0.41
81,El Salvador,609.3640833,995.6115833,5.29,6.09
82,Guatemala,644.53275,2289.982917,1.02,-0.05
83,Eswatini,648.9535833,3935.532833,-0.01,3.16
84,Guyana,654.01275,3425.23875,0.07,2.25
85,Nepal,710.8964167,1549.053167,0.31,1.55
86,Norway,760.0898333,5285.723917,5.67,5.67
87,Namibia,777.197,4026.48475,-0.18,-0.18
88,Saudi Arabia,830.2499167,442.87575,-0.5,-0.84
89,Suriname,837.315,6234.16125,0.25,-0.43
90,Kazakhstan,864.3336667,3998.251333,-1.49,-1.68
91,Singapore,866.2825,3264.22475,-0.93,0.53
92,Mexico,932.0575,1668.984667,1.49,3.03
93,Tunisia,938.4023333,3962.720667,-0.27,0.66
94,Honduras,973.2639167,2057.4015,0.04,-0.62
95,Morocco,977.0795,1165.526,1.06,1.06
96,Kyrgyzstan,1018.432083,1302.730667,4.28,3.88
97,Ecuador,1035.02525,1561.547,0.09,0.1
98,Bolivia,1091.585667,2997.006583,5.16,-1.57
99,Greece,1114.19025,8602.198167,1.01,1.17
100,Iraq,1114.874167,2806.329417,2.02,1.46
101,Iran,1152.95925,4676.480083,0.01,0.21
102,Libya,1226.658083,3528.607,0.29,0.4
103,Dominican Republic,1267.460167,1840.450083,-1.5,-1.5
104,Canada,1279.113,3539.884083,-0.98,-1.56
105,Iceland,1285.858083,4761.292,1.65,1.65
106,Paraguay,1326.451417,4401.790167,2.21,2.21
107,Turkey,1352.8305,7102.757667,-0.65,-0.77
108,South Africa,1470.880917,3314.944167,1.37,1.37
109,Ireland,1522.612917,11607.78625,-1.19,-0.32
110,Cape Verde,1663.4015,4199.52775,-0.17,-0.17
111,Belarus,1697.997,4412.064083,12.98,15.62
112,Albania,1709.755083,4453.759667,-0.54,-0.69
113,Germany,1718.98425,5428.30625,0.52,0.52
114,Estonia,1758.965167,13411.74592,1.2,-0.26
115,Azerbaijan,1759.496833,3203.997,-0.67,-1.2
116,Russia,1800.886417,4142.130833,0.32,0.88
117,United Arab Emirates,1834.366833,4890.962333,0.26,0.84
118,Latvia,1841.869833,10616.51683,-0.19,-0.19
119,Malta,2002.650417,6203.4375,0.16,-0.33
120,Cyprus,2078.293917,13437.48808,0.68,0.74
121,Jordan,2175.314417,5677.532333,0.65,0.16
122,Maldives,2188.6615,13036.67233,-6.99,-5.97
123,Ukraine,2281.59,5793.676583,-1.17,-0.93
124,Denmark,2315.987167,9079.83,3.78,2.29
125,Oman,2346.637167,3216.244333,0.18,0.09
126,Kosovo,2391.54,5159.600167,0.09,0.03
127,Peru,2484.457,3136.831667,1.89,2.82
128,Bulgaria,2485.346,6694.7505,-0.35,-0.83
129,Chile,2588.677333,5090.5305,3.36,3.36
130,Colombia,2639.045667,5646.15475,5.07,5.14
131,Romania,2680.08875,4987.588167,2.15,1.02
132,Hungary,2696.43375,7808.037583,2.55,1.1
133,Poland,2707.331417,5882.12725,0.53,0.6
134,Costa Rica,2723.513167,6453.833,0.14,0.14
135,Lebanon,2755.183083,8294.663833,-0.68,0.68
136,Bosnia and Herzegovina,2860.26375,4647.346333,0.98,1.89
137,Kuwait,2939.565333,5203.367333,-1.29,-2.03
138,Italy,2974.542583,5672.269167,3.94,4.09
139,Argentina,2976.456917,7377.252917,3.24,3.92
140,Brazil,2980.470917,5606.526,4.73,5.55
141,United Kingdom,3072.16125,12907.34075,3.12,4.23
142,North Macedonia,3316.805583,5640.985917,-0.38,-0.45
143,Austria,3319.158667,8527.100083,1.28,0.32
144,Portugal,3357.712667,7918.585917,2.04,4.03
145,France,3361.68325,9469.903833,1.65,1.65
146,Spain,3396.984333,7781.464583,3.16,2.95
147,Sweden,3455.023083,6930.956833,-0.12,-0.12
148,Moldova,3687.195583,5890.047667,0.83,-1.03
149,Israel,3733.11075,8483.014417,-3.24,-2.9
150,Netherlands,3827.047,11134.94042,1.28,2.42
151,Slovakia,4054.889083,16191.01233,0.64,-0.12
152,Serbia,4098.094833,11659.38317,0.68,0.97
153,Switzerland,4312.27675,8393.130583,1.42,0.51
154,Croatia,4359.349,10429.3385,4.39,1.35
155,Lithuania,4395.42275,11495.96933,1.53,2.65
156,Qatar,4447.341333,3298.973917,0.39,4.11
157,Belgium,4622.085583,10429.94017,0.97,1.82
158,Panama,4664.9535,4709.187083,0.35,-1.45
159,Armenia,4777.636833,5560.236333,0.41,0.69
160,Slovenia,4801.927833,13440.3045,4.88,5.11
161,Georgia,5061.355667,15741.81525,0.96,3.09
162,Bahrain,5245.702833,10719.91133,-3.92,-3.92
163,Luxembourg,6146.14475,7379.929667,3.6,2.8
164,Montenegro,6411.5755,16184.35367,6.36,3.87
